t_rel,state_stamp,x,y,z,vx,vy,vz
7.302754,1783596377.530497,3.000000,3.000001,1.168649,0.000000,-0.000015,-0.023875
7.342196,1783596377.571681,3.000000,3.000000,1.167888,0.000000,-0.000021,-0.021041
7.362301,1783596377.592192,3.000000,2.999999,1.167506,0.000000,-0.000022,-0.020071
7.382267,1783596377.611784,3.000000,2.999999,1.167167,0.000000,-0.000023,-0.018974
7.402434,1783596377.630464,3.000000,2.999999,1.166941,0.000000,-0.000019,-0.016227
7.422386,1783596377.655200,3.000000,2.999999,1.166575,0.000000,-0.000011,-0.015647
7.442269,1783596377.670666,3.000000,2.999999,1.166210,0.000000,-0.000007,-0.018841
7.462282,1783596377.693787,3.000000,2.999999,1.165831,0.000000,-0.000004,-0.017859
7.482273,1783596377.715136,3.000000,2.999999,1.165422,0.000000,-0.000002,-0.018367
7.502275,1783596377.737674,3.000000,2.999999,1.165016,0.000000,-0.000001,-0.018226
7.522325,1783596377.737674,3.000000,2.999999,1.165016,0.000000,-0.000001,-0.018226
7.542284,1783596377.759226,3.000000,2.999999,1.164618,0.000000,-0.000001,-0.018339
7.562344,1783596377.784741,3.000000,2.999999,1.164172,0.000000,-0.000001,-0.017981
7.582272,1783596377.802948,3.000000,2.999999,1.163734,0.000000,-0.000000,-0.020411
7.602368,1783596377.823821,3.000000,2.999999,1.163188,0.000000,0.000004,-0.022721
7.622271,1783596377.846717,3.000000,2.999999,1.162716,0.000000,0.000007,-0.021882
7.642307,1783596377.871731,3.000000,3.000000,1.162232,0.000000,0.000012,-0.020859
7.662260,1783596377.892684,3.000000,3.000000,1.161937,0.000000,0.000012,-0.018157
7.682266,1783596377.892684,3.000000,3.000000,1.161937,0.000000,0.000012,-0.018157
7.703065,1783596377.918461,3.000000,3.000000,1.161382,0.000000,0.000014,-0.019496
7.722272,1783596377.938988,3.000000,3.000001,1.160845,0.000000,0.000018,-0.022165
7.742265,1783596377.964673,3.000000,3.000001,1.160251,0.000000,0.000018,-0.022550
7.762283,1783596377.988644,3.000000,3.000001,1.159657,0.000000,0.000011,-0.023438
7.782269,1783596378.010367,3.000000,3.000001,1.159039,0.000000,0.000007,-0.025447
