t_rel,state_stamp,x,y,z,vx,vy,vz
7.302754,1783596377.536695,-0.000000,0.000000,1.167633,-0.000000,0.000000,-0.015109
7.342196,1783596377.569618,-0.000000,0.000000,1.167214,-0.000000,0.000000,-0.014591
7.362301,1783596377.591711,0.000000,0.000000,1.166873,0.000000,0.000000,-0.014387
7.382267,1783596377.614383,0.000002,0.000001,1.166539,0.000033,0.000023,-0.014477
7.402434,1783596377.634105,0.000018,0.000013,1.166180,0.000483,0.000333,-0.015392
7.422386,1783596377.651958,0.000049,0.000034,1.165994,0.001467,0.001010,-0.015527
7.442269,1783596377.673000,0.000238,0.000163,1.165635,0.008078,0.005549,-0.009499
7.462282,1783596377.696472,0.000752,0.000515,1.165608,0.025725,0.017605,0.005980
7.482273,1783596377.716016,0.001803,0.001233,1.166003,0.057656,0.039320,0.023907
7.502275,1783596377.733338,0.002752,0.001880,1.166384,0.080490,0.054826,0.031216
7.522325,1783596377.755997,0.004231,0.002890,1.166925,0.112054,0.076294,0.036837
7.542284,1783596377.772188,0.005811,0.003973,1.167412,0.142330,0.097032,0.039355
7.562344,1783596377.791167,0.010067,0.006891,1.168374,0.213866,0.146633,0.037577
7.582272,1783596377.812178,0.015588,0.010724,1.169191,0.287610,0.199977,0.033434
7.602368,1783596377.834643,0.022753,0.015784,1.169926,0.365737,0.260574,0.032277
7.622271,1783596377.854261,0.032322,0.022763,1.170770,0.446424,0.331233,0.038488
7.642307,1783596377.877064,0.042562,0.030608,1.171777,0.509269,0.398078,0.051654
7.662260,1783596377.891037,0.042632,0.030687,1.171813,0.509732,0.398687,0.052071
7.682266,1783596377.891037,0.042632,0.030687,1.171813,0.509732,0.398687,0.052071
7.703065,1783596377.937938,0.065982,0.050411,1.174533,0.580867,0.526759,0.078528
7.722272,1783596377.951813,0.077928,0.061785,1.176172,0.591468,0.584458,0.084681
7.742265,1783596377.974220,0.084670,0.068666,1.177107,0.592902,0.616149,0.086343
7.762283,1783596377.995677,0.098648,0.083955,1.179278,0.600286,0.684580,0.092825
7.782269,1783596378.008426,0.104458,0.090741,1.180175,0.603117,0.712463,0.095077
7.802336,1783596378.029900,0.118341,0.107650,1.182564,0.622621,0.780340,0.106225
7.822283,1783596378.052383,0.125789,0.117075,1.183905,0.637609,0.813068,0.111479
7.842272,1783596378.072843,0.140233,0.135550,1.186529,0.675524,0.868495,0.117330
7.862309,1783596378.093863,0.153593,0.152535,1.188778,0.715128,0.905350,0.116282
7.882266,1783596378.115386,0.169203,0.171867,1.191154,0.764672,0.935430,0.112051
7.902270,1783596378.136092,0.185085,0.190634,1.193265,0.811977,0.949823,0.107601
7.922264,1783596378.151342,0.192574,0.199072,1.194136,0.829843,0.947335,0.104341
7.942218,1783596378.169501,0.202699,0.210262,1.195506,0.855819,0.951380,0.105807
7.962414,1783596378.192954,0.220666,0.229563,1.197918,0.892812,0.958511,0.111494
7.982449,1783596378.213243,0.238583,0.248365,1.200375,0.917657,0.969156,0.115196
8.002275,1783596378.235078,0.256537,0.267018,1.202918,0.931418,0.981516,0.117150
8.022340,1783596378.256707,0.274805,0.286152,1.205571,0.940045,0.999342,0.119320
8.042367,1783596378.268947,0.283346,0.295211,1.206807,0.942000,1.007447,0.120802
8.062409,1783596378.294705,0.301728,0.314885,1.209828,0.955835,1.031741,0.130228
8.082261,1783596378.317697,0.322540,0.337398,1.213179,0.976901,1.055610,0.139389
8.102273,1783596378.331774,0.333079,0.348782,1.215016,0.990168,1.063686,0.143923
8.122329,1783596378.353171,0.352308,0.369334,1.218311,1.017068,1.068938,0.151076
8.142251,1783596378.377802,0.363397,0.380950,1.220464,1.036558,1.069005,0.157422
8.162281,1783596378.397775,0.384060,0.401893,1.223978,1.073084,1.061074,0.165363
8.182262,1783596378.417445,0.405010,0.422133,1.227474,1.108148,1.041760,0.173369
8.202273,1783596378.431337,0.419183,0.435215,1.229800,1.126373,1.019666,0.177957
8.222326,1783596378.452733,0.440944,0.454330,1.233654,1.157871,0.989950,0.191826
8.242320,1783596378.474919,0.464585,0.473941,1.238039,1.186669,0.959468,0.210496
8.262287,1783596378.497198,0.489536,0.493574,1.242995,1.207517,0.930295,0.232453
8.282258,1783596378.517203,0.500921,0.502273,1.245564,1.215021,0.918791,0.245134
8.302639,1783596378.536075,0.513562,0.511829,1.248586,1.228812,0.915947,0.260741
8.322289,1783596378.550195,0.540133,0.531483,1.254723,1.243459,0.904828,0.287823
8.342284,1783596378.572722,0.556622,0.543610,1.259133,1.256248,0.905779,0.308202
8.362281,1783596378.593537,0.582778,0.562596,1.266204,1.270525,0.905017,0.338081
8.382268,1783596378.614132,0.606684,0.579931,1.273181,1.277194,0.899590,0.364015
8.402519,1783596378.634168,0.632472,0.598364,1.281175,1.288435,0.894554,0.392076
8.422363,1783596378.648974,0.647890,0.609318,1.286158,1.291441,0.887033,0.406722
8.442264,1783596378.669798,0.674269,0.627807,1.295381,1.305117,0.876454,0.437796
8.462270,1783596378.693122,0.691084,0.639621,1.301667,1.307346,0.863655,0.456504
8.482272,1783596378.715196,0.716829,0.657069,1.311622,1.315992,0.847036,0.488613
8.502254,1783596378.729696,0.732116,0.667197,1.317728,1.316456,0.834556,0.506446
8.522273,1783596378.750190,0.759291,0.684922,1.329221,1.311927,0.814844,0.540281
8.542254,1783596378.773733,0.785350,0.701679,1.340890,1.290622,0.793718,0.569725
8.562307,1783596378.792526,0.809161,0.717067,1.352418,1.257201,0.776872,0.596406
8.582371,1783596378.814822,0.833492,0.732807,1.364929,1.213308,0.764620,0.622506
8.602360,1783596378.833067,0.855486,0.747632,1.377262,1.153602,0.755165,0.642300
8.622305,1783596378.855551,0.866077,0.755616,1.384243,1.108884,0.749535,0.651877
8.642261,1783596378.877134,0.885951,0.770334,1.397311,1.040860,0.750459,0.671445
