t_rel,state_stamp,x,y,z,vx,vy,vz
5.957383,1783596158.853516,3.000000,3.000001,1.170723,0.000000,0.000000,-0.020523
6.001424,1783596158.897537,3.000000,3.000001,1.169969,0.000000,0.000000,-0.018942
6.022254,1783596158.897537,3.000000,3.000001,1.169969,0.000000,0.000000,-0.018942
6.042319,1783596158.943268,3.000000,3.000001,1.169186,0.000000,-0.000011,-0.019191
6.062334,1783596158.963162,3.000000,3.000000,1.168745,0.000000,-0.000016,-0.020388
6.082330,1783596158.984002,3.000000,3.000000,1.168308,0.000000,-0.000019,-0.020623
6.102338,1783596159.005031,3.000000,3.000000,1.168072,0.000000,-0.000016,-0.016861
6.122307,1783596159.005031,3.000000,3.000000,1.168072,0.000000,-0.000016,-0.016861
6.142406,1783596159.028092,3.000000,2.999999,1.167632,0.000000,-0.000018,-0.017743
6.162323,1783596159.050061,3.000000,2.999999,1.167186,0.000000,-0.000019,-0.018778
6.182318,1783596159.071670,3.000000,2.999999,1.166749,0.000000,-0.000016,-0.019344
6.202319,1783596159.095832,3.000000,2.999999,1.166239,0.000000,-0.000010,-0.020061
6.222324,1783596159.115667,3.000000,2.999999,1.165716,0.000000,-0.000006,-0.022573
6.242331,1783596159.135783,3.000000,2.999999,1.165231,0.000000,-0.000003,-0.023184
6.262337,1783596159.162687,3.000000,2.999999,1.164713,0.000000,-0.000002,-0.021621
6.282313,1783596159.182557,3.000000,2.999999,1.164168,0.000000,-0.000001,-0.023932
6.302305,1783596159.204846,3.000000,2.999999,1.163849,0.000000,-0.000001,-0.020084
6.322325,1783596159.204846,3.000000,2.999999,1.163849,0.000000,-0.000001,-0.020084
6.342333,1783596159.232969,3.000000,2.999999,1.162912,0.000000,-0.000000,-0.025389
6.362325,1783596159.249654,3.000000,2.999999,1.162624,0.000000,-0.000000,-0.022130
6.382329,1783596159.271966,3.000000,2.999999,1.161954,0.000000,-0.000000,-0.025291
6.402308,1783596159.291645,3.000000,2.999999,1.161284,0.000000,0.000010,-0.028789
6.422322,1783596159.315108,3.000000,3.000000,1.160563,0.000000,0.000014,-0.029575
6.442327,1783596159.334646,3.000000,3.000000,1.160256,0.000000,0.000013,-0.024017
6.462315,1783596159.359505,3.000000,3.000000,1.159534,0.000000,0.000016,-0.026027
6.482323,1783596159.378117,3.000000,3.000001,1.158838,0.000000,0.000020,-0.030575
6.502311,1783596159.404454,3.000000,3.000001,1.158076,0.000000,0.000019,-0.029922
6.522418,1783596159.404454,3.000000,3.000001,1.158076,0.000000,0.000019,-0.029922
6.542328,1783596159.434310,3.000000,3.000001,1.157336,0.000000,0.000011,-0.027869
6.562315,1783596159.451933,3.000000,3.000001,1.156536,0.000000,0.000007,-0.034872
6.582323,1783596159.473951,3.000000,3.000001,1.155788,0.000000,0.000004,-0.034511
6.602329,1783596159.495790,3.000000,3.000001,1.154972,0.000000,0.000002,-0.035650
6.622321,1783596159.514312,3.000000,3.000001,1.154145,0.000000,0.000001,-0.039256
6.642322,1783596159.534821,3.000000,3.000001,1.153758,0.000000,0.000001,-0.031110
6.662345,1783596159.556892,3.000000,3.000001,1.152927,0.000000,0.000001,-0.033716
6.682320,1783596159.578823,3.000000,3.000001,1.152088,0.000000,0.000000,-0.035541
6.703917,1783596159.599914,3.000000,3.000001,1.151223,0.000000,0.000000,-0.037732
6.722322,1783596159.622167,3.000000,3.000001,1.150408,0.000000,0.000000,-0.037287
6.742332,1783596159.643689,3.000000,3.000001,1.149547,0.000000,0.000000,-0.038378
6.762316,1783596159.663902,3.000000,3.000001,1.148772,0.000000,0.000000,-0.038356
6.782528,1783596159.663902,3.000000,3.000001,1.148772,0.000000,0.000000,-0.038356
6.802341,1783596159.691301,3.000000,3.000001,1.147980,0.000000,-0.000007,-0.034575
6.822313,1783596159.715145,3.000000,3.000000,1.147183,0.000000,-0.000012,-0.034118
6.842321,1783596159.732585,3.000000,3.000000,1.146349,0.000000,-0.000018,-0.039585
6.862328,1783596159.753667,3.000000,2.999999,1.145559,0.000000,-0.000020,-0.038740
6.882462,1783596159.774644,3.000000,2.999999,1.144847,0.000000,-0.000021,-0.036821
6.902316,1783596159.797455,3.000000,2.999998,1.144132,0.000000,-0.000021,-0.034643
6.922319,1783596159.818200,3.000000,2.999998,1.143677,0.000000,-0.000013,-0.029544
6.942324,1783596159.837794,3.000000,2.999998,1.142966,0.000000,-0.000008,-0.032249
6.962331,1783596159.862238,3.000000,2.999998,1.142279,0.000000,-0.000005,-0.030586
