t_rel,state_stamp,x,y,z,vx,vy,vz
5.957383,1783596158.851090,-0.000000,-0.000000,1.170430,-0.000000,-0.000000,-0.015967
6.001424,1783596158.893741,-0.000000,-0.000000,1.169849,-0.000000,-0.000000,-0.015933
6.022254,1783596158.913543,-0.000000,-0.000000,1.169349,-0.000000,-0.000000,-0.015942
6.042319,1783596158.935669,0.000000,0.000001,1.169006,0.000007,0.000019,-0.014403
6.062334,1783596158.956676,0.000004,0.000012,1.168782,0.000145,0.000420,-0.004507
6.082330,1783596158.977856,0.000011,0.000032,1.168795,0.000411,0.001180,0.003364
6.102338,1783596159.001056,0.000041,0.000117,1.169176,0.001682,0.004814,0.026671
6.122307,1783596159.023624,0.000105,0.000298,1.170063,0.004361,0.012434,0.054957
6.142406,1783596159.044760,0.000248,0.000705,1.171571,0.009046,0.025691,0.087259
6.162323,1783596159.057833,0.000360,0.001022,1.172574,0.012276,0.034781,0.104800
6.182318,1783596159.078691,0.000697,0.001973,1.175112,0.020659,0.058187,0.141190
6.202319,1783596159.101783,0.001241,0.003495,1.178463,0.031739,0.088599,0.178926
6.222324,1783596159.120177,0.001598,0.004486,1.180395,0.038165,0.105884,0.197741
6.242331,1783596159.137819,0.002607,0.007257,1.185206,0.054079,0.147364,0.238871
6.262337,1783596159.161919,0.003989,0.010960,1.190964,0.072289,0.192090,0.282083
6.282313,1783596159.183662,0.005635,0.015247,1.197220,0.090640,0.233783,0.325577
6.302305,1783596159.196203,0.006597,0.017692,1.200678,0.100217,0.254039,0.348145
6.322325,1783596159.216747,0.008793,0.023113,1.208235,0.119721,0.291883,0.393845
6.342333,1783596159.238753,0.011373,0.029211,1.216747,0.139459,0.325699,0.440977
6.362325,1783596159.260973,0.014317,0.035866,1.226157,0.158840,0.354931,0.488569
6.382329,1783596159.282772,0.017477,0.042693,1.235943,0.176478,0.377873,0.532136
6.402308,1783596159.296633,0.019156,0.046205,1.241101,0.184688,0.387716,0.553830
6.422322,1783596159.318105,0.022947,0.053910,1.252859,0.200659,0.406565,0.602164
6.442327,1783596159.342541,0.025370,0.058671,1.260868,0.208740,0.415956,0.634412
6.462315,1783596159.357586,0.027470,0.062805,1.267761,0.215249,0.425496,0.663698
6.482323,1783596159.378573,0.031921,0.071511,1.282582,0.225428,0.443060,0.720466
6.502311,1783596159.402000,0.036439,0.080396,1.298285,0.230989,0.459035,0.774341
6.522418,1783596159.421924,0.040932,0.089444,1.314730,0.231778,0.473447,0.824253
6.542328,1783596159.444455,0.045306,0.098639,1.332111,0.227598,0.486050,0.873889
6.562315,1783596159.461725,0.047471,0.103436,1.341726,0.223044,0.491196,0.900500
6.582323,1783596159.478197,0.051655,0.113194,1.361263,0.212183,0.501990,0.954324
6.602329,1783596159.499805,0.055766,0.123851,1.383726,0.193633,0.508072,1.009755
6.622321,1783596159.519905,0.058863,0.133018,1.403886,0.171873,0.508048,1.050913
6.642322,1783596159.540821,0.061396,0.142001,1.424772,0.144621,0.503652,1.089170
6.662345,1783596159.562134,0.063409,0.150989,1.446457,0.112822,0.498011,1.125430
6.682320,1783596159.582822,0.064717,0.159747,1.468639,0.076497,0.492492,1.156573
6.703917,1783596159.602761,0.065337,0.168452,1.491228,0.037807,0.492013,1.180376
6.722322,1783596159.623416,0.065147,0.172791,1.503616,0.014654,0.492509,1.189832
6.742332,1783596159.637716,0.064917,0.177156,1.515397,-0.005628,0.498566,1.201075
6.762316,1783596159.661324,0.063928,0.188265,1.543408,-0.049341,0.530596,1.227235
6.782528,1783596159.675763,0.063043,0.193823,1.557167,-0.068693,0.553492,1.238830
6.802341,1783596159.698327,0.060951,0.205932,1.584477,-0.099153,0.615142,1.258800
6.822313,1783596159.721843,0.058353,0.219847,1.612358,-0.119159,0.693060,1.266812
6.842321,1783596159.739667,0.056918,0.226985,1.625507,-0.125858,0.733107,1.265477
6.862328,1783596159.763043,0.053963,0.243515,1.651921,-0.126255,0.821008,1.226399
6.882462,1783596159.777926,0.052552,0.252455,1.664868,-0.121042,0.867313,1.211185
6.902316,1783596159.797305,0.050039,0.272536,1.690914,-0.095998,0.960541,1.170705
