t_rel,state_stamp,x,y,z,vx,vy,vz
5.965217,1783675224.965118,3.000000,2.999999,1.165731,0.000000,-0.000002,-0.015766
5.996663,1783675224.985489,3.000000,2.999999,1.165476,0.000000,-0.000001,-0.014471
6.010435,1783675225.009630,3.000000,2.999999,1.165223,0.000000,-0.000001,-0.012860
6.021397,1783675225.026826,3.000000,2.999999,1.164963,0.000000,-0.000000,-0.013783
6.031447,1783675225.026826,3.000000,2.999999,1.164963,0.000000,-0.000000,-0.013783
6.041448,1783675225.049376,3.000000,2.999999,1.164702,0.000000,-0.000000,-0.012901
6.051447,1783675225.049376,3.000000,2.999999,1.164702,0.000000,-0.000000,-0.012901
6.061458,1783675225.070994,3.000000,2.999999,1.164420,0.000000,-0.000000,-0.012957
6.072497,1783675225.070994,3.000000,2.999999,1.164420,0.000000,-0.000000,-0.012957
6.083196,1783675225.070994,3.000000,2.999999,1.164420,0.000000,-0.000000,-0.012957
6.093258,1783675225.098883,3.000000,2.999999,1.164127,0.000000,-0.000000,-0.011973
6.105517,1783675225.098883,3.000000,2.999999,1.164127,0.000000,-0.000000,-0.011973
6.115564,1783675225.116741,3.000000,2.999999,1.163836,0.000000,-0.000000,-0.013710
6.126023,1783675225.133976,3.000000,2.999999,1.163537,0.000000,-0.000000,-0.015151
6.135673,1783675225.133976,3.000000,2.999999,1.163537,0.000000,-0.000000,-0.015151
6.147731,1783675225.156152,3.000000,2.999999,1.163220,0.000000,-0.000000,-0.014806
6.157787,1783675225.156152,3.000000,2.999999,1.163220,0.000000,-0.000000,-0.014806
6.167886,1783675225.176642,3.000000,2.999999,1.163038,0.000000,-0.000000,-0.012440
6.178876,1783675225.176642,3.000000,2.999999,1.163038,0.000000,-0.000000,-0.012440
6.188918,1783675225.176642,3.000000,2.999999,1.163038,0.000000,-0.000000,-0.012440
6.198924,1783675225.207033,3.000000,2.999999,1.162534,0.000000,-0.000000,-0.014102
6.209801,1783675225.207033,3.000000,2.999999,1.162534,0.000000,-0.000000,-0.014102
6.219872,1783675225.223027,3.000000,2.999999,1.162330,0.000000,-0.000000,-0.013568
6.229944,1783675225.223027,3.000000,2.999999,1.162330,0.000000,-0.000000,-0.013568
6.239856,1783675225.245984,3.000000,2.999999,1.161747,0.000000,-0.000000,-0.018283
6.249875,1783675225.245984,3.000000,2.999999,1.161747,0.000000,-0.000000,-0.018283
6.259873,1783675225.269464,3.000000,2.999999,1.161341,0.000000,-0.000000,-0.017887
6.269867,1783675225.269464,3.000000,2.999999,1.161341,0.000000,-0.000000,-0.017887
6.280027,1783675225.269464,3.000000,2.999999,1.161341,0.000000,-0.000000,-0.017887
6.289882,1783675225.292137,3.000000,3.000000,1.161111,0.000000,0.000004,-0.014795
6.299900,1783675225.310231,3.000000,3.000000,1.160604,0.000000,0.000013,-0.020083
6.310480,1783675225.310231,3.000000,3.000000,1.160604,0.000000,0.000013,-0.020083
6.321543,1783675225.310231,3.000000,3.000000,1.160604,0.000000,0.000013,-0.020083
6.331647,1783675225.335562,3.000000,3.000000,1.160130,0.000000,0.000008,-0.019534
6.341709,1783675225.335562,3.000000,3.000000,1.160130,0.000000,0.000008,-0.019534
6.351711,1783675225.335562,3.000000,3.000000,1.160130,0.000000,0.000008,-0.019534
6.361711,1783675225.363021,3.000000,3.000000,1.159620,0.000000,0.000005,-0.019153
6.372144,1783675225.363021,3.000000,3.000000,1.159620,0.000000,0.000005,-0.019153
6.381727,1783675225.383338,3.000000,3.000000,1.159070,0.000000,0.000003,-0.022328
6.391710,1783675225.383338,3.000000,3.000000,1.159070,0.000000,0.000003,-0.022328
6.401715,1783675225.407584,3.000000,3.000000,1.158462,0.000000,0.000010,-0.023419
6.414562,1783675225.407584,3.000000,3.000000,1.158462,0.000000,0.000010,-0.023419
6.424630,1783675225.427007,3.000000,3.000000,1.157902,0.000000,0.000006,-0.025577
6.436450,1783675225.427007,3.000000,3.000000,1.157902,0.000000,0.000006,-0.025577
6.444632,1783675225.447554,3.000000,3.000000,1.157333,0.000000,0.000003,-0.026426
6.454832,1783675225.447554,3.000000,3.000000,1.157333,0.000000,0.000003,-0.026426
6.464651,1783675225.473590,3.000000,3.000000,1.156734,0.000000,0.000002,-0.025062
6.474632,1783675225.473590,3.000000,3.000000,1.156734,0.000000,0.000002,-0.025062
6.484612,1783675225.492496,3.000000,3.000000,1.156126,0.000000,0.000001,-0.027903
6.494618,1783675225.492496,3.000000,3.000000,1.156126,0.000000,0.000001,-0.027903
6.504615,1783675225.492496,3.000000,3.000000,1.156126,0.000000,0.000001,-0.027903
6.514630,1783675225.516177,3.000000,3.000000,1.155433,0.000000,0.000001,-0.028447
6.524624,1783675225.516177,3.000000,3.000000,1.155433,0.000000,0.000001,-0.028447
6.534626,1783675225.516177,3.000000,3.000000,1.155433,0.000000,0.000001,-0.028447
6.544636,1783675225.547825,3.000000,3.000000,1.154730,0.000000,0.000000,-0.025948
6.554636,1783675225.547825,3.000000,3.000000,1.154730,0.000000,0.000000,-0.025948
6.564637,1783675225.565169,3.000000,3.000000,1.154340,0.000000,0.000000,-0.024579
6.574624,1783675225.565169,3.000000,3.000000,1.154340,0.000000,0.000000,-0.024579
6.584709,1783675225.587593,3.000000,3.000000,1.153623,0.000000,0.000000,-0.027535
6.594633,1783675225.587593,3.000000,3.000000,1.153623,0.000000,0.000000,-0.027535
6.604625,1783675225.614243,3.000000,3.000000,1.152464,0.000000,0.000000,-0.033911
6.614998,1783675225.614243,3.000000,3.000000,1.152464,0.000000,0.000000,-0.033911
6.624624,1783675225.614243,3.000000,3.000000,1.152464,0.000000,0.000000,-0.033911
6.634670,1783675225.614243,3.000000,3.000000,1.152464,0.000000,0.000000,-0.033911
6.646279,1783675225.650554,3.000000,3.000000,1.151588,0.000000,0.000000,-0.030003
6.658444,1783675225.658618,3.000000,3.000000,1.151183,0.000000,0.000000,-0.038076
6.668541,1783675225.658618,3.000000,3.000000,1.151183,0.000000,0.000000,-0.038076
6.679427,1783675225.679338,3.000000,3.000000,1.150367,0.000000,0.000000,-0.038600
6.688682,1783675225.698789,3.000000,3.000000,1.149551,0.000000,0.000000,-0.039938
6.698671,1783675225.698789,3.000000,3.000000,1.149551,0.000000,0.000000,-0.039938
6.708609,1783675225.698789,3.000000,3.000000,1.149551,0.000000,0.000000,-0.039938
6.718596,1783675225.727881,3.000000,3.000000,1.148723,0.000000,0.000000,-0.035342
6.728615,1783675225.727881,3.000000,3.000000,1.148723,0.000000,0.000000,-0.035342
6.738596,1783675225.727881,3.000000,3.000000,1.148723,0.000000,0.000000,-0.035342
6.748652,1783675225.751415,3.000000,3.000000,1.147922,0.000000,0.000000,-0.034833
6.758604,1783675225.751415,3.000000,3.000000,1.147922,0.000000,0.000000,-0.034833
6.768831,1783675225.772517,3.000000,3.000000,1.147047,0.000000,0.000000,-0.037486
6.778611,1783675225.772517,3.000000,3.000000,1.147047,0.000000,0.000000,-0.037486
6.789461,1783675225.792431,3.000000,3.000000,1.146567,0.000000,0.000000,-0.032129
6.801008,1783675225.792431,3.000000,3.000000,1.146567,0.000000,0.000000,-0.032129
6.812848,1783675225.817591,3.000000,3.000000,1.145639,0.000000,0.000000,-0.034026
