t_rel,state_stamp,x,y,z,vx,vy,vz
5.965217,1783675224.972734,-0.000000,-0.000000,1.165417,-0.000000,-0.000000,-0.008155
5.996663,1783675225.006816,-0.000000,-0.000000,1.165060,-0.000000,-0.000000,-0.007899
6.010435,1783675225.006816,-0.000000,-0.000000,1.165060,-0.000000,-0.000000,-0.007899
6.021397,1783675225.028498,0.000000,0.000000,1.164891,0.000004,0.000004,-0.008271
6.031447,1783675225.038819,0.000003,0.000003,1.164764,0.000054,0.000056,-0.008731
6.041448,1783675225.048077,0.000011,0.000011,1.164621,0.000180,0.000187,-0.011631
6.051447,1783675225.060680,0.000033,0.000034,1.164418,0.000703,0.000731,-0.016436
6.061458,1783675225.070633,0.000071,0.000074,1.164173,0.001892,0.001968,-0.021131
6.072497,1783675225.070633,0.000071,0.000074,1.164173,0.001892,0.001968,-0.021131
6.083196,1783675225.087597,0.000153,0.000160,1.163844,0.004670,0.004859,-0.025239
6.093258,1783675225.096629,0.000276,0.000288,1.163520,0.009136,0.009504,-0.027875
6.105517,1783675225.115540,0.000656,0.000684,1.162876,0.024427,0.025390,-0.031157
6.115564,1783675225.124307,0.000741,0.000772,1.162828,0.025626,0.026646,-0.031619
6.126023,1783675225.132709,0.001144,0.001192,1.162465,0.038534,0.040049,-0.033618
6.135673,1783675225.140598,0.001681,0.001752,1.162089,0.054671,0.056789,-0.036624
6.147731,1783675225.140606,0.003301,0.003437,1.161204,0.096259,0.099928,-0.050736
6.157787,1783675225.167843,0.003514,0.003664,1.161115,0.098492,0.102348,-0.051681
6.167886,1783675225.178238,0.004820,0.005029,1.160453,0.124483,0.129410,-0.065547
6.178876,1783675225.178238,0.004820,0.005029,1.160453,0.124483,0.129410,-0.065547
6.188918,1783675225.194961,0.006817,0.007119,1.159424,0.159114,0.165611,-0.085651
6.198924,1783675225.207817,0.009041,0.009460,1.158243,0.192226,0.200703,-0.104852
6.209801,1783675225.217017,0.011569,0.012114,1.156878,0.228058,0.238853,-0.124877
6.219872,1783675225.225997,0.014354,0.015053,1.155387,0.263048,0.276779,-0.142480
6.229944,1783675225.237676,0.017833,0.018741,1.153564,0.302393,0.320106,-0.160035
6.239856,1783675225.248677,0.021400,0.022545,1.151752,0.338588,0.360780,-0.174322
6.249875,1783675225.258674,0.025196,0.026613,1.149877,0.373571,0.400836,-0.186782
6.259873,1783675225.258674,0.025196,0.026613,1.149877,0.373571,0.400836,-0.186782
6.269867,1783675225.274778,0.029374,0.031123,1.147916,0.408173,0.441262,-0.197893
6.280027,1783675225.274778,0.029374,0.031123,1.147916,0.408173,0.441262,-0.197893
6.289882,1783675225.294134,0.035535,0.037835,1.145080,0.453002,0.494574,-0.211713
6.299900,1783675225.305617,0.041293,0.044162,1.142466,0.489207,0.538594,-0.223478
6.310480,1783675225.316673,0.041873,0.044810,1.142255,0.493277,0.543291,-0.224113
6.321543,1783675225.316673,0.041873,0.044810,1.142255,0.493277,0.543291,-0.224113
6.331647,1783675225.339514,0.055589,0.060041,1.136282,0.567921,0.634125,-0.246708
6.341709,1783675225.349878,0.062637,0.067921,1.133300,0.602361,0.674855,-0.255389
6.351711,1783675225.359713,0.069390,0.075484,1.130516,0.634685,0.711538,-0.261782
6.361711,1783675225.368638,0.076286,0.083202,1.127738,0.667060,0.746421,-0.266798
6.372144,1783675225.379558,0.083444,0.091186,1.124938,0.700723,0.780342,-0.271068
